Intent,Query
trigger_ai,was ist der Unterschied zwischen diskreter und kontinuierlicher Mathematik
skip_ai,Übungsblatt Stochastik 2
trigger_ai,explain what a confidence interval actually means
skip_ai,Musterlösung Statistik Klausur
trigger_ai,what is a chi-squared test and when do you use it
trigger_ai,wie unterscheiden sich Typ-I und Typ-II Fehler in der Statistik
skip_ai,Formelblatt Statistik
trigger_ai,explain the law of large numbers
skip_ai,Klausur Stochastik SS23
trigger_ai,was ist der Unterschied zwischen Varianz und Standardabweichung
trigger_ai,explain how a lens forms an image using ray optics
skip_ai,Physik Übungsblatt 8
trigger_ai,was ist der Bernoulli-Effekt und wie erklärt er den Auftrieb bei Flugzeugen
skip_ai,Praktikum Protokoll 5
trigger_ai,how does radioactive decay work and what are the different types
trigger_ai,explain what resonance is in physics with examples
skip_ai,Klausur Optik
trigger_ai,wie funktioniert Kernfusion und warum ist sie so schwer umzusetzen
skip_ai,Aufgaben Wellenlehre
trigger_ai,what is the Doppler effect and where do we see it in everyday life
trigger_ai,explain how a capacitor stores energy
skip_ai,Lösungen Elektrodynamik
trigger_ai,was ist der Unterschied zwischen paramagnetischen und diamagnetischen Materialien
skip_ai,Skript Optik Kapitel 2
trigger_ai,how does diffraction explain why we can hear around corners
trigger_ai,was ist Coulombs Gesetz und wie berechnet man die elektrische Kraft zwischen Ladungen
skip_ai,Übungsblatt 9 Physik
trigger_ai,explain what polarization of light means
skip_ai,Lösungen Wellenoptik
trigger_ai,wie entsteht ein Regenbogen physikalisch erklärt
trigger_ai,what is Huygens principle in optics
skip_ai,Klausur Elektrodynamik
trigger_ai,explain plasma and what makes it different from a gas
skip_ai,Tutorium Quantenmechanik
trigger_ai,was ist Stellarevolution wie entstehen und sterben Sterne
trigger_ai,how does the Hubble constant relate to the expansion of the universe
skip_ai,Aufgaben Kernphysik
trigger_ai,was ist kosmische Hintergrundstrahlung und was sagt sie über den Urknall aus
skip_ai,Versuchsprotokoll 6
trigger_ai,explain what viscosity is and how it affects fluid flow
trigger_ai,wie unterscheiden sich laminare und turbulente Strömung
skip_ai,Physik Skript Thermodynamik
trigger_ai,what is the first law of thermodynamics in simple terms
skip_ai,Lösungen Kernphysik
trigger_ai,explain what a black body radiator is and what Plancks law describes
trigger_ai,was ist der Photoeffekt und was bewies Einstein damit über Licht
skip_ai,Übung Flüssigkeitsmechanik
trigger_ai,how does a gyroscope work
skip_ai,Klausur Astrophysik
trigger_ai,explain Archimedes principle and buoyancy
trigger_ai,was ist Quantentunneln und warum ist es in der Natur wichtig
skip_ai,Aufgabenblatt Optik 2
trigger_ai,how does a rainbow form step by step using refraction and dispersion
skip_ai,Lösungen Thermodynamik Blatt 3
trigger_ai,was ist der Unterschied zwischen Nah- und Fernfeld in der Elektrostatik
trigger_ai,explain what a standing wave is
skip_ai,Physik Lernunterlagen
trigger_ai,wie funktioniert ein Elektromotor
skip_ai,Übungsblatt 10 Physik
trigger_ai,what is the photoelectric threshold frequency
trigger_ai,explain how neurons generate and transmit action potentials
skip_ai,Biologie Skript Kapitel 5
trigger_ai,what is synaptic plasticity and how is it related to memory
skip_ai,Praktikum Protokoll Bio 3
trigger_ai,wie funktioniert die ATP-Synthase in der Mitochondrie
trigger_ai,explain the Krebs cycle and what it produces
skip_ai,Übungsblatt Biochemie
trigger_ai,was sind Enzyme und wie funktionieren sie als Katalysatoren
skip_ai,Klausur Biochemie
trigger_ai,explain what a food web is and how energy flows through an ecosystem
trigger_ai,wie funktioniert die Signaltransduktion in einer Zelle
skip_ai,Lösungen Biologie Blatt 6
trigger_ai,what is the difference between innate and adaptive immunity
skip_ai,Skript Neurobiologie
trigger_ai,explain how bacteria develop antibiotic resistance
trigger_ai,was sind Neurotransmitter und wie kommunizieren Neuronen miteinander
skip_ai,Tutorium Genetik
trigger_ai,explain what epigenetics is and how it differs from genetics
skip_ai,Aufgaben Ökologie
trigger_ai,was ist der Unterschied zwischen Primär- und Sekundärsukzession in der Ökologie
trigger_ai,explain how stem cells differ from differentiated cells
skip_ai,Klausur Ökologie
trigger_ai,was ist Apoptose und wie unterscheidet sie sich von Nekrose
skip_ai,Lösungen Neurobiologie
trigger_ai,how do hormones work as chemical messengers in the body
trigger_ai,erkläre die G-Protein-gekoppelten Rezeptoren
skip_ai,Übungsblatt Biochemie 2
trigger_ai,what is population genetics and what is the Hardy-Weinberg equilibrium
skip_ai,Musterlösung Bio Klausur
trigger_ai,explain how the kidney filters blood
trigger_ai,was ist genetische Drift und wie unterscheidet sie sich von natürlicher Selektion
skip_ai,Protokoll Vorlage Biologie
trigger_ai,explain what a biofilm is and why it matters for antibiotic resistance
skip_ai,Skript Biochemie Kapitel 6
trigger_ai,what is quorum sensing in bacteria
trigger_ai,wie funktioniert das Immunsystem bei einer Impfung
skip_ai,Klausur Molekularbiologie
trigger_ai,explain what telomeres are and their role in aging
skip_ai,Übungsblatt Zellbiologie
trigger_ai,was ist der Unterschied zwischen cis und trans regulatorischen Elementen in der Genetik
trigger_ai,explain what EBITDA means and why investors care about it
skip_ai,BWL Übungsblatt 3
trigger_ai,was ist der Unterschied zwischen operativem und freiem Cashflow
skip_ai,Fallstudie Aufgabe 4
trigger_ai,explain the concept of economies of scope
trigger_ai,what is price discrimination and what are its different degrees
skip_ai,Lösungen BWL Blatt 2
trigger_ai,erkläre mir das Konzept der Arbitrage in Finanzmärkten
skip_ai,Klausur Finanzierung
trigger_ai,what is the efficient market hypothesis and what are its forms
trigger_ai,wie funktioniert das Black-Scholes Modell für Optionen auf hohem Niveau
skip_ai,Vorlesungsfolien Controlling
trigger_ai,explain what working capital management means
skip_ai,Hausaufgabe BWL 3
trigger_ai,was ist der Unterschied zwischen Eigenkapital und Fremdkapital
trigger_ai,explain the concept of moral hazard in economics
skip_ai,Übungsblatt VWL 4
trigger_ai,was ist Adverse Selection und welche Beispiele gibt es
skip_ai,Skript Unternehmensführung
trigger_ai,explain what a Nash equilibrium is in game theory
trigger_ai,wie funktioniert Franchising als Geschäftsmodell
skip_ai,Klausur VWL WS23
trigger_ai,what is the difference between gross margin and net margin
skip_ai,Lösungen Controlling
trigger_ai,explain what a discounted cash flow valuation is
trigger_ai,was ist der Unterschied zwischen transformationalem und transaktionalem Führungsstil
skip_ai,Vorlesungsaufzeichnung BWL
trigger_ai,explain lean startup methodology
skip_ai,Übungsaufgaben Finanzierung
trigger_ai,what is the difference between a merger and an acquisition
trigger_ai,explain the hard problem of consciousness
skip_ai,Seminar Sitzung 4 Protokoll
trigger_ai,what is the trolley problem and what does it reveal about moral theories
skip_ai,Referat Aufgabe 2
trigger_ai,erkläre mir den Unterschied zwischen Utilitarismus und Deontologie
trigger_ai,what is language acquisition and how do children learn grammar
skip_ai,Lektüre Woche 7
trigger_ai,explain what qualia are and why they are philosophically significant
skip_ai,Seminararbeit Beispiel
trigger_ai,was ist ethnografische Forschung und wie wird sie durchgeführt
trigger_ai,explain the Sapir-Whorf hypothesis about language and thought
skip_ai,Klausur Philosophie
trigger_ai,was ist kultureller Relativismus in der Anthropologie
skip_ai,Lektürenliste Seminar
trigger_ai,explain what agenda-setting theory says about media influence
trigger_ai,was ist Hermeneutik und wie interpretiert man Texte damit
skip_ai,Essay Beispiel Geisteswissenschaften
trigger_ai,explain the concept of habitus in Bourdieus sociology
skip_ai,Referat Thema Liste
trigger_ai,what is functionalism in the philosophy of mind
trigger_ai,erkläre mir Habermas Konzept der kommunikativen Rationalität
skip_ai,Seminar Pflichtlektüre
trigger_ai,explain what narratology studies in literature
skip_ai,Klausur Kulturwissenschaften
trigger_ai,was ist der Unterschied zwischen Strukturalismus und Poststrukturalismus
trigger_ai,explain what framing theory says about news coverage
skip_ai,Vorlesungsnotizen Philosophie
trigger_ai,what is the difference between ethics and morality
skip_ai,Seminararbeit Vorlage Geistes
trigger_ai,erkläre mir Derridas Konzept der Dekonstruktion
skip_ai,Vorlesung 11
skip_ai,Blatt 19
skip_ai,Exercise 12
skip_ai,Übung 13
skip_ai,HW6
skip_ai,lec8
skip_ai,ex4
skip_ai,sol8
skip_ai,Assignment 10
skip_ai,Klausuranmeldung Portal
skip_ai,Noten einsehen
skip_ai,Abgabe hochladen
skip_ai,Übung hochladen
skip_ai,Semesterbeginn
skip_ai,Sprechstunde
skip_ai,Office Hours
skip_ai,Prüfungsanmeldung
skip_ai,Rücktritt Prüfung
skip_ai,Notenbenachrichtigung
skip_ai,Gruppenabgabe
skip_ai,Lösungsblatt 19
skip_ai,Folien KW 14
skip_ai,Aufgabenblatt 17
skip_ai,Klausur 2020
skip_ai,Probeklausur SS24
skip_ai,Musterklausur WS23
skip_ai,Altklausuren
skip_ai,Lerngruppe
skip_ai,Tutor Kontakt
skip_ai,Vorlesungsmitschrift
skip_ai,Lecture Recording
skip_ai,Zoom Link
skip_ai,Teams Kanal
skip_ai,Moodle
skip_ai,TUMOnline
skip_ai,Forum Diskussion
skip_ai,Praktikumsgruppe
skip_ai,Bonuspunkte
skip_ai,Übungspunkte
skip_ai,Zulassungsvoraussetzung
skip_ai,Prüfungsordnung
skip_ai,Modulhandbuch
skip_ai,ECTS Punkte Kurs
skip_ai,Nachklausur Termin
skip_ai,Lab 5
skip_ai,Projekt Abgabe
skip_ai,Gruppenarbeit Thema
skip_ai,Seminarplan
skip_ai,Folien Kapitel 8
skip_ai,Kapitel 9 Skript
skip_ai,Lösungen Übungsblatt 19
skip_ai,Altklausur 2019
skip_ai,Formelsammlung Physik
skip_ai,Cheat Sheet Statistik
skip_ai,Musterlösung Klausur 2022
skip_ai,Lecture Slides Week 9
skip_ai,Aufgaben Kapitel 5
skip_ai,Lösungen Kapitel 6
trigger_ai,kann mir wer erklären warum man bei neuronalen Netzen ReLU statt Sigmoid benutzt
trigger_ai,i know what a derivative is but can u explain the chain rule i keep messing it up
trigger_ai,warum crashed mein Code mit stack overflow error obwohl die Rekursion terminieren sollte
trigger_ai,bro can someone explain p vs np like im 5
trigger_ai,ich check nicht warum man bei Classification Cross Entropy Loss verwendet und nicht MSE
trigger_ai,explain like im a beginner what the heck is a tensor
trigger_ai,warum konvergiert gradient descent nicht immer zum globalen Minimum
trigger_ai,whats the point of unit testing if integration tests exist anyway
trigger_ai,ich hab 3 mal die Vorlesung zu Fourier-Transform gehört und checks immer noch nicht was sie macht
trigger_ai,how come hash tables are O(1) but also sometimes O(n) that makes no sense
skip_ai,Übungsblatt21
skip_ai,klausur2024
skip_ai,lec10
skip_ai,blatt20
skip_ai,hw7
trigger_ai,was ist nochmal der Unterschied zwischen Korrelation und Regression ich vergesse das immer
trigger_ai,explain why quantum computers cant just solve every problem instantly
trigger_ai,warum braucht man eigentlich Regex und wann ist es besser als normale String-Methoden
trigger_ai,can someone explain what a monad is without being pretentious about it
trigger_ai,ich verstehe nicht warum Pointer-Arithmetik in C so verwirrend ist
trigger_ai,lässt sich machine learning auch ohne Mathe verstehen oder muss man wirklich alles kennen
trigger_ai,explain why you cant just always use a hashmap for everything
trigger_ai,was ist der intuitive Unterschied zwischen Wahrscheinlichkeit und Statistik
trigger_ai,why does javascript have both == and === and which one should i use
trigger_ai,warum ist Parallelisierung manchmal langsamer als single-threaded Ausführung
trigger_ai,gibt es einen einfachen Weg Bayes Theorem zu verstehen ohne viel Mathe
trigger_ai,why does my sql query get slower when i add more indexes
trigger_ai,was ist der Unterschied zwischen einem Prozess und einem Docker Container
trigger_ai,can you explain what idempotency means in APIs
trigger_ai,ich verstehe nicht wann ich eine abstrakte Klasse vs ein Interface verwenden soll
skip_ai,topology
skip_ai,Klausuranmeldung
skip_ai,osmosis
skip_ai,Stundenplan
skip_ai,convolution
skip_ai,Gruppenabgabe
skip_ai,entanglement
skip_ai,Probeklausur
skip_ai,Bayes
skip_ai,Formelsammlung
skip_ai,blockchain
skip_ai,Lösungsblatt
skip_ai,enzyme
skip_ai,Lernunterlagen
skip_ai,transformer
skip_ai,Altklausur
skip_ai,neural network
skip_ai,encryption
skip_ai,Prüfungsordnung
skip_ai,thermodynamics
skip_ai,Modulhandbuch
skip_ai,overfitting
skip_ai,Vorlesungsaufzeichnung
skip_ai,manifold
skip_ai,Seminarplan
skip_ai,qualia
trigger_ai,so basically i have an exam tomorrow and i still dont understand what the fourier transform actually transforms like what goes in and what comes out
trigger_ai,mein Kommilitone hat mir erklärt dass INNER JOIN und CROSS JOIN das gleiche sind aber ich glaube das stimmt nicht wer hat recht
trigger_ai,i always thought correlation implied causation but my stats prof says thats wrong can you give me a concrete example of why not
trigger_ai,warum sagt man dass ein Algorithmus O(log n) ist wenn man bei jedem Schritt das Problem halbiert kann man das formal begründen
trigger_ai,i need help understanding what happens at the hardware level when two threads try to write to the same memory location simultaneously
trigger_ai,ist es möglich ein neuronales Netz zu interpretieren oder ist es immer eine Black Box
trigger_ai,my professor mentioned something called the curse of dimensionality in the context of knn but i didnt understand what it means
trigger_ai,warum lernt man in der Informatik überhaupt noch C wenn es doch Python und Java gibt
skip_ai,Übungsblatt 22
skip_ai,Klausur Altaufgaben 2021
trigger_ai,explain what the attention is all you need paper introduced
trigger_ai,was ist der Unterschied zwischen einem weak und einem strong consistency Modell
trigger_ai,how does the linux kernel scheduler decide which process to run next
trigger_ai,erkläre mir warum man bei Deep Learning so viele Trainingsdaten braucht
trigger_ai,what is the process memory layout and what does each segment contain
trigger_ai,wie funktioniert Garbage Collection in Go verglichen mit Java
trigger_ai,explain what the central dogma of information theory is
trigger_ai,was ist der Unterschied zwischen Precision at K und Mean Average Precision in IR
skip_ai,Lösungen Klausur 2022
skip_ai,Skript Kapitel 10
trigger_ai,how does the immune system avoid attacking the bodys own cells
trigger_ai,was ist Interoperabilität in verteilten Systemen
trigger_ai,explain what RLHF is and why it is used to train large language models
trigger_ai,wie unterscheidet sich konstitutive von regulatorischer Genexpression
trigger_ai,what is the difference between type 1 and type 2 diabetes at a biological level
skip_ai,Vorlesungsfolien KW 15
skip_ai,Hausarbeit Abgabefrist
trigger_ai,explain what a transformer model does differently than an RNN
trigger_ai,was ist der Unterschied zwischen supervised fine-tuning und RLHF
trigger_ai,how does a recommendation system work
trigger_ai,erkläre mir das Konzept von Word2Vec
trigger_ai,what is the difference between precision and accuracy in measurement
trigger_ai,wie entsteht elektrische Spannung in einem Generator
trigger_ai,explain what homeostasis is in biology
trigger_ai,was ist der Unterschied zwischen exothermen und endothermen Reaktionen
skip_ai,Lösungen Aufgabenblatt 18
skip_ai,Klausur WS24
trigger_ai,explain what a confounding variable is in an experiment
trigger_ai,was ist der Unterschied zwischen einer Hypothese und einer Theorie in der Wissenschaft
trigger_ai,how does carbon dating work
trigger_ai,erkläre mir wie man eine wissenschaftliche Studie kritisch liest
trigger_ai,what is the placebo effect and why does it matter for clinical trials
trigger_ai,was ist Ockhams Rasiermesser und wie wendet man es an
trigger_ai,explain what the replication crisis means in science
trigger_ai,wie funktioniert Peer Review in der Wissenschaft
skip_ai,Seminararbeit Thema
skip_ai,Projektarbeit Vorlage
trigger_ai,explain what the gender pay gap is and what research says about its causes
trigger_ai,was ist der Unterschied zwischen Gleichheit und Gerechtigkeit als Konzept
trigger_ai,explain what cognitive dissonance is
trigger_ai,was ist Confirmation Bias und wie wirkt er sich auf Entscheidungen aus
trigger_ai,explain what anchoring bias is in behavioral economics
trigger_ai,was versteht man unter Bounded Rationality
trigger_ai,explain the difference between intrinsic and extrinsic motivation
trigger_ai,was ist Prokrastination aus psychologischer Sicht
skip_ai,Lernmaterialien Psychologie
skip_ai,Klausur Psychologie
trigger_ai,explain what a growth mindset is and what research supports it
trigger_ai,was ist Metakognition
trigger_ai,explain the spacing effect in learning and how to use it
trigger_ai,wie funktioniert das Arbeitsgedächtnis
trigger_ai,what is the difference between long-term and short-term memory
trigger_ai,erkläre mir was Flow State ist
skip_ai,Übungsblatt Psychologie
skip_ai,Seminar Lektüre 8
trigger_ai,explain what operant conditioning is
trigger_ai,was ist der Unterschied zwischen klassischer und operanter Konditionierung
trigger_ai,how does the bystander effect work
trigger_ai,erkläre mir soziale Identitätstheorie
trigger_ai,what is cognitive load theory and how does it apply to learning
skip_ai,Fallstudie Seminar
skip_ai,Prüfungsplan WS24
trigger_ai,explain what neuroplasticity means
trigger_ai,was ist der Unterschied zwischen deduktivem und induktivem Denken
trigger_ai,explain what a logical fallacy is with examples
trigger_ai,was sind Heuristiken in der kognitiven Psychologie
trigger_ai,explain the difference between a correlation study and a randomized controlled trial
skip_ai,Lösungen Blatt 20
skip_ai,Abgabe Hausarbeit Portal
trigger_ai,was ist epistemische Bescheidenheit
trigger_ai,explain what the observer effect means in quantum mechanics
skip_ai,Blatt 21 Aufgaben
trigger_ai,was ist der Unterschied zwischen einer Normalform und einer konjunktiven Normalform in der Logik
skip_ai,Lösungsblatt 21
trigger_ai,explain what Gödels incompleteness theorems say
skip_ai,Abgabe Projekt 2
trigger_ai,how does the A* algorithm differ from Dijkstra and when is it better
skip_ai,Übungsblatt 23
trigger_ai,was ist das Raft Consensus Protokoll
skip_ai,Exercise 13
trigger_ai,explain what lazy evaluation is in functional programming
trigger_ai,was ist der Unterschied zwischen RISC und CISC Prozessorarchitektur
skip_ai,Lösungen Blatt 22
trigger_ai,how does CPU branch prediction work and why does it matter for performance
skip_ai,Skript Rechnerarchitektur
trigger_ai,explain what a cache hierarchy is and what L1 L2 L3 caches mean
trigger_ai,was ist der Unterschied zwischen Paxos und Raft
skip_ai,Klausur Rechnerarchitektur
trigger_ai,explain what higher order functions are in functional programming
skip_ai,Tutorium Algorithmen
trigger_ai,what is the KMP algorithm and when is it used for string matching
trigger_ai,wie funktioniert eine Pipeline in modernen CPUs
skip_ai,Assignment 11
trigger_ai,explain what GANs are and how they generate images
skip_ai,Foliensatz ML Advanced
trigger_ai,was ist der Unterschied zwischen VAE und GAN
trigger_ai,explain the Floyd-Warshall algorithm for all-pairs shortest paths
skip_ai,Lösungsblatt Algorithmen 2
trigger_ai,what is a vector clock and how does it help track causality in distributed systems
skip_ai,Übungsblatt 24
trigger_ai,explain tail recursion and how it is optimized by compilers
trigger_ai,was ist das Saga Pattern in Microservices
skip_ai,Hausaufgabe 6
trigger_ai,explain what a diffusion model is in machine learning
skip_ai,Klausur ML Advanced
trigger_ai,how does out-of-order execution work in modern CPUs
trigger_ai,was ist der Unterschied zwischen Few-Shot und Zero-Shot Learning
skip_ai,Lösungen Exercise 13
trigger_ai,explain what pattern matching is in functional languages
skip_ai,Skript Verteilte Systeme Kapitel 4
trigger_ai,what is RAII and how does it help manage resources in C++
trigger_ai,wie funktioniert Paxos auf einem hohen Level
skip_ai,Exercise 14
trigger_ai,explain what BGP is and how it routes traffic between autonomous systems
skip_ai,Vorlesungsfolien Systemarchitektur
trigger_ai,what is instruction-level parallelism
trigger_ai,erkläre mir was ein Smart Pointer in C++ ist
skip_ai,Übungsblatt 25
trigger_ai,explain what Kubernetes does and why people use it
skip_ai,Lösungen Blatt 23
trigger_ai,was ist der Unterschied zwischen CI und CD in der Softwareentwicklung
trigger_ai,explain what infrastructure as code means
skip_ai,Tutorium Systemprogrammierung
trigger_ai,how do memory leaks happen and how do you detect them
skip_ai,Klausur Systemprogrammierung
trigger_ai,was ist ein Speicherleck und wie entsteht es in C++
trigger_ai,explain what observability means and how it differs from monitoring
skip_ai,Blatt 24 Aufgaben
trigger_ai,how does Kubernetes handle service discovery
skip_ai,Skript DevOps
trigger_ai,what is the difference between horizontal and vertical scaling
trigger_ai,erkläre mir was CAP Theorem in der Praxis für NoSQL bedeutet
skip_ai,Assignment 12
trigger_ai,explain what generics are and why they are useful in type systems
skip_ai,Lösungen Aufgabenblatt 20
trigger_ai,was ist Metaprogrammierung und wann macht man das
trigger_ai,explain what a type class is in Haskell
skip_ai,Übungsblatt 26
trigger_ai,how does garbage collection work in Rust compared to languages with a GC
skip_ai,Foliensatz Compilerbau
trigger_ai,explain the difference between parsing and lexing in a compiler
trigger_ai,was ist ein Abstract Syntax Tree und was macht man damit
skip_ai,Klausur Compilerbau
trigger_ai,explain what static analysis tools do and how they find bugs
skip_ai,Übungsblatt Compilerbau
trigger_ai,what is type inference and how does the Hindley-Milner algorithm work
trigger_ai,erkläre mir was Reflection in Java ist
skip_ai,Lösungen Compilerbau
trigger_ai,how does the JVM JIT compiler optimize code at runtime
skip_ai,Tutorium Compilerbau
trigger_ai,explain what coroutines are and how they differ from threads
trigger_ai,was ist der Unterschied zwischen Parallelität und Nebenläufigkeit
skip_ai,Skript Parallelprogrammierung
trigger_ai,explain what software-defined networking means
skip_ai,Übungsblatt 27
trigger_ai,what is anycast and how is it used in CDNs
trigger_ai,explain what OSPF is and how link-state routing works
skip_ai,Lösungen Netzwerkblatt 2
trigger_ai,was ist IP-Fragmentierung und warum vermeidet man sie
skip_ai,Klausur Netzwerke
trigger_ai,explain what the CAP theorem trade-off looks like for a system like Cassandra
trigger_ai,was versteht man unter eventual consistency in DynamoDB
skip_ai,Foliensatz Datenbanken Advanced
trigger_ai,explain what a B-tree is and why databases use it for indexes
skip_ai,Übungsblatt 28
trigger_ai,was ist der Unterschied zwischen einem B-Baum und einem B+-Baum
trigger_ai,explain what write-ahead logging is in databases
skip_ai,Lösungen DB Advanced
trigger_ai,how does MVCC work in PostgreSQL
skip_ai,Klausur Datenbankimplementierung
trigger_ai,was ist Lock Striping und wann nutzt man es für Concurrency
trigger_ai,explain what an LSM tree is and why it is used in databases like RocksDB
skip_ai,Skript DB Implementation
trigger_ai,what is a columnar database and when is it better than a row-oriented database
skip_ai,Blatt 25 Aufgaben
trigger_ai,explain what connection pooling is and why it matters
trigger_ai,explain what uniform continuity means and how it differs from pointwise continuity
skip_ai,Übungsblatt Reelle Analysis
trigger_ai,was ist der Unterschied zwischen gleichmäßiger und punktweiser Konvergenz
skip_ai,Klausur Reelle Analysis
trigger_ai,explain what a metric space is
trigger_ai,was ist Maßtheorie und wofür braucht man das in der Wahrscheinlichkeitstheorie
skip_ai,Lösungen Analysis 3
trigger_ai,explain what a sigma algebra is in measure theory
skip_ai,Aufgabenblatt Maßtheorie
trigger_ai,what is the Lebesgue integral and how does it differ from the Riemann integral
trigger_ai,erkläre mir was eine Nullmenge in der Maßtheorie ist
skip_ai,Skript Analysis 3
trigger_ai,explain graph coloring and what the chromatic number is
skip_ai,Übungsblatt Graphentheorie
trigger_ai,what is a planar graph and how does Eulers formula apply
trigger_ai,was ist das Traveling-Salesman Problem und warum ist es NP-schwer
skip_ai,Lösungen Graphentheorie
trigger_ai,explain Halls theorem for bipartite matching
skip_ai,Klausur Graphentheorie
trigger_ai,what is a Hamiltonian cycle and how does it relate to TSP
trigger_ai,erkläre mir den Unterschied zwischen Euler-Weg und Hamiltonischem Pfad
skip_ai,Aufgaben Diskrete Mathe
trigger_ai,explain what a Hamming code is and how error detection works
skip_ai,Lösungsblatt Kodierungstheorie
trigger_ai,what is Newtons method for finding roots and when does it fail
trigger_ai,wie funktioniert numerische Integration und was ist der Fehler bei der Trapezregel
skip_ai,Skript Numerische Methoden 2
trigger_ai,explain what Runge-Kutta methods are for solving ODEs
skip_ai,Übungsblatt Numerik 3
trigger_ai,what is condition number and why does it matter for numerical stability
trigger_ai,erkläre mir was Interpolation ist und was Lagrange-Interpolation macht
skip_ai,Klausur Numerik
trigger_ai,explain what a functor is in category theory
skip_ai,Lösungen Numerik
trigger_ai,was ist eine natürliche Transformation in der Kategorientheorie
trigger_ai,explain moment generating functions and what they tell you
skip_ai,Übungsblatt Wahrscheinlichkeit 2
trigger_ai,what is conditional independence and why does it matter in Bayesian networks
skip_ai,Lösungen Stochastik 2
trigger_ai,explain the Monte Carlo method and when you use it
trigger_ai,was ist der zentrale Grenzwertsatz anschaulich erklärt
skip_ai,Klausur Wahrscheinlichkeit
trigger_ai,explain what entropy means in information theory
skip_ai,Aufgabenblatt Informationstheorie
trigger_ai,was ist die Kullback-Leibler Divergenz
trigger_ai,explain mutual information and what it measures
skip_ai,Skript Informationstheorie
trigger_ai,what is a maximum likelihood estimator and how do you compute one
skip_ai,Lösungen Informationstheorie
trigger_ai,was ist der Unterschied zwischen MLE und MAP Schätzung
trigger_ai,explain what a convolution is mathematically
skip_ai,Übungsblatt Signalverarbeitung
trigger_ai,how does the discrete Fourier transform relate to the continuous one
skip_ai,Klausur Signalverarbeitung
trigger_ai,was ist das Nyquist-Shannon Abtasttheorem
trigger_ai,explain what a transfer function is in control theory
skip_ai,Lösungen Signalverarbeitung
trigger_ai,what is a PID controller and how does it work
skip_ai,Skript Regelungstechnik
trigger_ai,erkläre mir was Stabilität eines Regelkreises bedeutet
trigger_ai,explain what the Laplace transform is used for in engineering
skip_ai,Aufgaben Regelungstechnik
trigger_ai,was ist der Unterschied zwischen Zeitbereich und Frequenzbereich
skip_ai,Klausur Regelungstechnik
trigger_ai,explain what the Z-transform is and when it is used instead of Laplace
trigger_ai,was ist ein digitales Filter und was ist der Unterschied zwischen FIR und IIR
skip_ai,Lösungen Regelungstechnik
trigger_ai,explain Bode plots and what they tell you about a system
skip_ai,Übungsblatt Regelungstechnik
trigger_ai,what is the Nyquist stability criterion
trigger_ai,explain what band theory says about conductors and insulators
skip_ai,Physik Übungsblatt 11
trigger_ai,was ist der Unterschied zwischen Metallen Halbleitern und Isolatoren aus Sicht der Physik
skip_ai,Klausur Festkörperphysik
trigger_ai,explain what phonons are in solid state physics
trigger_ai,how does doping a semiconductor change its conductivity
skip_ai,Skript Festkörperphysik
trigger_ai,explain the Lagrangian and Hamiltonian formulations of classical mechanics
skip_ai,Lösungen Festkörperphysik
trigger_ai,was ist der Phasenraum in der klassischen Mechanik
trigger_ai,explain what a partition function is in statistical mechanics
skip_ai,Aufgaben Statistische Mechanik
trigger_ai,wie leitet man die Boltzmann-Verteilung her
skip_ai,Klausur Statistische Mechanik
trigger_ai,explain the difference between Fermi-Dirac and Bose-Einstein statistics
trigger_ai,was ist ein Bose-Einstein Kondensat
skip_ai,Lösungen Statistische Mechanik
trigger_ai,explain what the Poynting vector represents in electromagnetism
skip_ai,Übungsblatt Elektrodynamik 2
trigger_ai,was sagen Maxwells Gleichungen aus einfach erklärt
trigger_ai,explain what electromagnetic waves are and how they propagate
skip_ai,Skript Elektrodynamik 2
trigger_ai,how does a p-n junction work in a diode
skip_ai,Klausur Halbleiterphysik
trigger_ai,explain the quantum harmonic oscillator
trigger_ai,was ist Spin in der Quantenmechanik
skip_ai,Lösungen Quantenmechanik 2
trigger_ai,explain what decoherence is in quantum systems
skip_ai,Aufgaben Quantenmechanik 2
trigger_ai,what is the Schrödinger equation and what does it describe
trigger_ai,explain what chaos theory means and give an example
skip_ai,Physik Tutorium
trigger_ai,was ist der Lorentz-Attraktor
skip_ai,Lösungen Mechanik Blatt 4
trigger_ai,explain the Navier-Stokes equations and why solving them is so hard
trigger_ai,was versteht man unter Turbulenz in der Physik
skip_ai,Skript Strömungsmechanik
trigger_ai,explain what nuclear magnetic resonance is
skip_ai,Klausur Atomphysik
trigger_ai,what is the Bohr model of the atom and where does it break down
trigger_ai,erkläre mir was Spektroskopie ist und wie man Elemente damit identifiziert
skip_ai,Aufgaben Atomphysik
trigger_ai,explain what Bragg diffraction is and how it reveals crystal structure
skip_ai,Lösungen Atomphysik
trigger_ai,was ist der Hall-Effekt und was misst man damit
trigger_ai,explain what superconductivity means at a quantum level
skip_ai,Übungsblatt Festkörper 2
trigger_ai,how does a scanning tunneling microscope work
skip_ai,Klausur Quantenphysik
trigger_ai,was ist der Unterschied zwischen klassischer und Quantenstatistik
trigger_ai,explain how the circulatory system works and what the heart does
skip_ai,Biologie Klausur SS24
trigger_ai,was ist der Unterschied zwischen arteriellen und venösen Blutgefäßen
skip_ai,Lösungen Biologie Blatt 7
trigger_ai,explain what kin selection is and how it explains altruism
trigger_ai,was ist sexuelle Selektion und wie unterscheidet sie sich von natürlicher Selektion
